아파트명,주소,lat,lon,공원,전철역,편의시설,경찰서,병원,score,소요시간
남산SK리더스뷰,서울특별시 중구 퇴계로 72,37.5591878,126.9806109,5.0,16.0,29.0,7.0,15.0,68,42분
덕수궁롯데캐슬아파트 ,서울 중구 순화동 서울특별시 중구 서소문로9길 28,37.5635869321786,126.970353714468,7.0,15.0,24.0,7.0,13.0,68,45분
삼정아트테라스정동,서울특별시 중구 서소문로 89-20,37.5635216,126.9682218,6.0,14.0,24.0,7.0,13.0,65,43분
쌍용남산플래티넘,서울특별시 중구 소공로 46,37.5595151,126.9832431,4.0,15.0,27.0,7.0,14.0,62,44분
충무로진양,서울특별시 중구 퇴계로 217,37.5624272,126.9959355,3.0,17.0,45.0,8.0,9.0,62,40분
인현신성,서울특별시 중구 마른내로 72,37.56355333,126.995814695,2.0,17.0,46.0,7.0,10.0,61,42분
남산롯데캐슬아이리스,서울특별시 중구 소공로 35,37.5585392,126.9815848,4.0,14.0,26.0,6.0,13.0,59,39분
경희궁자이3단지,서울특별시 종로구 경교장길 35,37.568854929,126.965171094,7.0,8.0,19.0,6.0,13.0,59,42분
현대뜨레비앙,서울특별시 종로구 돈화문로11가길 59,37.5751303,126.990057,5.0,14.0,22.0,5.0,11.0,57,41분
순화동포스코더샵,서울특별시 중구 칠패로 27,37.559937,126.971987,4.0,14.0,25.0,7.0,11.0,56,40분
